number_version,commit
230,Skip docker build if project packaging is set to POM or a dockerDirectory is specified but no Dockerfile contained
5,Merge pull request #2 from spotify/rculbertson/release-plugin
6,[maven-release-plugin] prepare release v0.0.14
8,Add plugins for javadoc and sources
9,Add sonatype parent element to pom
10,Merge pull request #4 from spotify/rculbertson/sonatype
11,Merge pull request #5 from spotify/rculbertson/javadoc-sources
12,[maven-release-plugin] prepare release v0.0.15
15,image info: create parent dir
21,[maven-release-plugin] prepare for next development iteration
22,disable read timeouts
23,Merge pull request #9 from spotify/dano/disable-read-timeouts
24,[maven-release-plugin] prepare release v0.0.17
25,[maven-release-plugin] prepare for next development iteration
26,No longer throw NPE when profile property is undefined
28,Plugin now retains directory structure of resources
30,Ensure ADD statements always have same order in generaated Dockerfile
31,Merge pull request #14 from spotify/rculbertson/sorted-resources
32,[maven-release-plugin] prepare release v0.0.18
34,Remove pom snippet version number from README.md
35,Merge pull request #16 from spotify/dxia/remove-readme-pom-version
36,Do not throw exception if not in git repo
37,Merge pull request #17 from spotify/rculbertson/not-git-repo
38,Added support for Dockerfile's EXPOSE command
39,Merge pull request #18 from spotify/rculbertson/expose
40,[maven-release-plugin] prepare release v0.0.19
42,close docker client after execution
43,Expose image name generated by BuildMojo as a property
44,Merge pull request #20 from dflemstr/export-image-name
47,[maven-release-plugin] prepare release v0.0.20
48,[maven-release-plugin] prepare for next development iteration
49,Updated docs
50,Readme now includes note about multi-module projects
51,Merge pull request #22 from spotify/rculbertson/readme-multi-module
52,Merge pull request #19 from spotify/dano/cleanup
33,[maven-release-plugin] prepare for next development iteration
54,Merge pull request #23 from spotify/rculbertson/commit-id
57,[maven-release-plugin] prepare release v0.0.21
61,Add getter for BuildMojo.repo
62,Merge pull request #29 from spotify/dxia/repo-getter
63,[maven-release-plugin] prepare release v0.0.22
64,[maven-release-plugin] prepare for next development iteration
65,Upgrade docker-client dep to 2.6.4
67,[maven-release-plugin] prepare release v0.0.23
68,[maven-release-plugin] prepare for next development iteration
69,Automate sonatype releases
71,Refactor build and release process
73,Archive git commit hash
76,Merge pull request #31 from spotify/dxia/use-https
77,Do not skip sonatype remote staging
78,[maven-release-plugin] prepare release v0.0.29
79,[maven-release-plugin] prepare for next development iteration
80,Add getter for BuildMojo.pushImage
81,Bump version of findbugs to 3.0.0
83,Add support for <packaging>docker</packaging>
84,Add integration tests for new behavior & old behavior
86,Pin specific versions of lifecycle plugin to correspond with Maven 3.1.0 defaults
87,Add missing comma to deploy lifecycle mapping
88,Add IT for multi-module project with docker-image dependencies
89,Enable ITs by default
90,"bump versions: jdk, guava, docker-client"
91,Merge pull request #41 from dflemstr/packaging-docker
92,[maven-release-plugin] prepare release v0.1.0
94,BuildMojo - imageTags parameter added to tag an image with additional tags after it's built
95,Final variables in BuildMojo.tagImage()
96,BuildMojo throws an error if gitCommitId is used but no git repo is available
97,Merge pull request #44 from evgeny-goldin/git-commit-id
104,Set mtime of copied files to 0 to enable Docker cache
106,[maven-release-plugin] prepare release v0.1.2
107,[maven-release-plugin] prepare for next development iteration
100,[maven-release-plugin] prepare release v0.1.1
108,DockerBuildInformation - reads Git repo URL and commit
109,Merge pull request #54 from evgeny-goldin/master
110,omit null entries from image_info.json
112,[maven-release-plugin] prepare release v0.2.0
113,[maven-release-plugin] prepare for next development iteration
114,[maven-release-plugin] prepare release v0.2.1
115,[maven-release-plugin] prepare for next development iteration
173,fix for handling of non-existing image when removing
174,Merge pull request #108 from krystiannowak/remove-image-error-handling
175,Fix nullpointer while reading settings.xml
176,Merge pull request #109 from detached/fixNPEWhileReadingSettings
177,Add table of contents to README
178,[maven-release-plugin] prepare release v0.2.12
179,[maven-release-plugin] prepare for next development iteration
180,Support multiple image tags for image removal
181,Merge pull request #113 from spotify/image-removal
182,Fix code style
183,Merge pull request #117 from spotify/checkstyle
184,Add pullOnBuild flag to pull base images on build
193,Bump minor version
194,[maven-release-plugin] prepare release v0.3.0
196,[maven-release-plugin] prepare release v0.3.1
197,[maven-release-plugin] prepare for next development iteration
199,Merge pull request #87 from hrmohr/encryptedpassword
200,Fix tests
201,[maven-release-plugin] prepare release v0.3.2
203,Add CONTRIBUTING.md
204,Add pushImageTag functionality
205,Upgrade docker-client dep from 3.1.2 to 3.1.4
206,Update readme - remove now supported RUN info
207,Merge pull request #133 from spotify/upgrade-docker-client
208,Merge pull request #134 from ravwojdyla/improve_readme
209,[maven-release-plugin] prepare release v0.3.3
210,[maven-release-plugin] prepare for next development iteration
211,Write digest to image info file on push
213,Merge pull request #141 from spotify/staffan/digest
216,update docker-client to 3.1.8
217,Merge pull request #144 from spotify/docker-client-3.1.8
248,[maven-release-plugin] prepare for next development iteration
250,Adding Test POM (Missed in previous commit
251,update docker client to recent version
367,[maven-release-plugin] prepare release v0.3.59
252,Merge pull request #163 from rgaertner/update-docker-client
253,#68 corrected path handling on windows
254,Merge remote-tracking branch 'upstream/master'
255,[maven-release-plugin] prepare release v0.3.8
256,[maven-release-plugin] prepare for next development iteration
258,Merge pull request #164 from craykg/master
259,update maven libraries and remove guava restriction
260,remove unneeded guava dependencies in test poms
261,Merge pull request #170 from spotify/resolve-guava-conflict
262,[maven-release-plugin] prepare release v0.3.9
266,Merge pull request #161 from officialpatterson/master
267,Squash all RUN commands into one layer
189,Ignore javadoc lint warnings on all java versions
218,[maven-release-plugin] prepare release v0.3.5
219,[maven-release-plugin] prepare for next development iteration
220,"add a known issue about properties named ""docker"""
221,use maven-filtering for resource filtering and copying
222,correct the base path of files in BuildMojo tests
223,don't set empty CMD when not configured
224,readme: add common causes of 500 Internal Server Error
225,Merge pull request #148 from spotify/known-issues-internal-server-errors
226,Upgrade docker-client dep from 3.1.8 to 3.2.1
227,"when ADDing files, write dest as a directory"
228,Merge pull request #150 from spotify/upgrade-docker-client
236,ability to pass no-cache flag when building image
237,Merge pull request #156 from spotify/no-cache
238,ensure entire directories are copied for ADDs
240,Merge pull request #158 from lndbrg/olle/add-configurability
241,use docker-client 3.3.1
242,Merge pull request #159 from spotify/docker-client-3.3.1
247,[maven-release-plugin] prepare release v0.3.7
271,[maven-release-plugin] prepare release v0.3.11
231,document how to push images to private registries
272,[maven-release-plugin] prepare for next development iteration
232,Merge pull request #154 from spotify/clarify-private-registry
277,[maven-release-plugin] prepare release v0.3.14
269,[maven-release-plugin] prepare release v0.3.10
278,[maven-release-plugin] prepare for next development iteration
279,[maven-release-plugin] prepare release v0.3.15
281,[maven-release-plugin] prepare release v0.3.16
285,[maven-release-plugin] prepare release v0.3.18
287,[maven-release-plugin] prepare release v0.3.19
289,[maven-release-plugin] prepare release v0.3.20
290,[maven-release-plugin] prepare for next development iteration
291,[maven-release-plugin] prepare release v0.3.21
292,[maven-release-plugin] prepare for next development iteration
295,[maven-release-plugin] prepare release v0.3.23
296,[maven-release-plugin] prepare for next development iteration
297,[maven-release-plugin] prepare release v0.3.24
299,[maven-release-plugin] prepare release v0.3.25
300,[maven-release-plugin] prepare for next development iteration
301,[maven-release-plugin] prepare release v0.3.26
302,[maven-release-plugin] prepare for next development iteration
304,[maven-release-plugin] prepare for next development iteration
305,[maven-release-plugin] prepare release v0.3.28
306,[maven-release-plugin] prepare for next development iteration
307,[maven-release-plugin] prepare release v0.3.29
308,[maven-release-plugin] prepare for next development iteration
309,[maven-release-plugin] prepare release v0.3.30
311,[maven-release-plugin] prepare release v0.3.31
312,[maven-release-plugin] prepare for next development iteration
313,[maven-release-plugin] prepare release v0.3.32
276,[maven-release-plugin] prepare for next development iteration
343,[maven-release-plugin] prepare release v0.3.47
345,[maven-release-plugin] prepare release v0.3.48
347,[maven-release-plugin] prepare release v0.3.49
348,[maven-release-plugin] prepare for next development iteration
349,[maven-release-plugin] prepare release v0.3.50
350,[maven-release-plugin] prepare for next development iteration
319,[maven-release-plugin] prepare release v0.3.35
323,[maven-release-plugin] prepare release v0.3.37
325,[maven-release-plugin] prepare release v0.3.38
326,[maven-release-plugin] prepare for next development iteration
327,[maven-release-plugin] prepare release v0.3.39
329,[maven-release-plugin] prepare release v0.3.40
330,[maven-release-plugin] prepare for next development iteration
331,[maven-release-plugin] prepare release v0.3.41
332,[maven-release-plugin] prepare for next development iteration
333,[maven-release-plugin] prepare release v0.3.42
334,[maven-release-plugin] prepare for next development iteration
335,[maven-release-plugin] prepare release v0.3.43
336,[maven-release-plugin] prepare for next development iteration
337,[maven-release-plugin] prepare release v0.3.44
